Pos,Name,Salary,TeamAbbrev,AvgPointsPerGame,Projected Points,dk_pos_sal_avg_points
RB,Christian McCaffrey,10000,CAR,30.95,23.3,35.1
RB,Saquon Barkley,8400,NYG,19.7,19.3,16.658333333333335
RB,Ezekiel Elliott,8200,DAL,20.92,21.1,21.25
WR,Davante Adams,8100,GB,20.96,22.0,16.36
RB,Derrick Henry,7900,TEN,21.63,19.4,22.79230769230769
WR,DeAndre Hopkins,7700,ARI,19.08,19.2,17.19375000000001
RB,Dalvin Cook,7600,MIN,21.62,18.0,17.6
WR,Tyreek Hill,7500,KC,16.51,17.4,18.75757575757576
WR,Julio Jones,7400,ATL,19.47,20.2,13.324999999999998
RB,Clyde Edwards-Helaire,7400,KC,0.0,16.2,19.917391304347827
WR,Adam Thielen,7200,MIN,12.47,17.3,17.979999999999997
RB,Aaron Jones,7100,GB,21.09,16.7,16.438461538461542
WR,Chris Godwin,7000,TB,21.01,14.8,15.404651162790696
TE,Travis Kelce,7000,KC,17.27,16.7,14.046153846153848
QB,Aaron Rodgers,6900,GB,18.81,19.6,19.7408
RB,James Conner,6800,PIT,14.95,10.4,20.841666666666672
QB,Dak Prescott,6800,DAL,23.24,21.7,21.30611111111112
WR,Calvin Ridley,6800,ATL,15.62,17.3,15.559148936170214
TE,George Kittle,6700,SF,14.51,13.5,13.514285714285714
WR,Cooper Kupp,6700,LAR,17.84,15.6,15.594339622641506
QB,Josh Allen,6700,BUF,19.35,21.7,20.968108108108105
QB,Matt Ryan,6600,ATL,21.29,19.3,19.623181818181823
QB,Tom Brady,6500,TB,17.36,18.9,19.98313725490196
WR,JuJu Smith-Schuster,6500,PIT,9.77,15.2,16.06758620689655
WR,Stefon Diggs,6500,BUF,14.62,15.2,16.06758620689655
RB,Austin Ekeler,6500,LAC,20.19,15.0,15.22068965517241
RB,Raheem Mostert,6400,SF,12.66,15.3,14.527586206896553
WR,Allen Robinson II,6400,CHI,16.49,16.7,16.17924528301887
WR,Robert Woods,6400,LAR,16.13,16.5,16.17924528301887
WR,Mike Evans,6400,TB,18.59,14.8,16.17924528301887
QB,Deshaun Watson,6400,HOU,24.15,19.4,20.14610169491525
QB,Ben Roethlisberger,6300,PIT,6.87,16.5,20.75015873015873
WR,Amari Cooper,6300,DAL,16.16,17.6,12.881269841269846
WR,Will Fuller V,6300,HOU,12.82,14.9,12.881269841269846
TE,Mark Andrews,6300,BAL,13.88,15.4,20.7125
QB,Matthew Stafford,6200,DET,23.32,17.0,18.144482758620697
WR,Kenny Golladay,6200,DET,16.5,11.2,11.572075471698113
WR,Marquise Brown,6200,BAL,11.47,14.7,11.572075471698113
WR,A.J. Brown,6100,TEN,12.86,12.9,13.235087719298253
RB,Todd Gurley II,6100,ATL,14.76,14.3,12.810714285714289
QB,Kyler Murray,6100,ARI,19.64,20.6,20.393999999999995
QB,Carson Wentz,6000,PHI,17.94,16.7,19.038378378378376
RB,Miles Sanders,6000,PHI,13.73,13.6,13.955319148936171
WR,Courtland Sutton,6000,DEN,14.28,11.5,15.04358208955224
WR,John Brown,6000,BUF,14.97,12.8,15.04358208955224
QB,Ryan Tannehill,5900,TEN,19.03,17.6,19.941492537313426
QB,Kirk Cousins,5900,MIN,16.99,16.0,19.941492537313426
QB,Philip Rivers,5900,IND,17.66,15.7,19.941492537313426
WR,DeVante Parker,5900,MIA,16.14,12.6,12.243076923076925
WR,Terry McLaurin,5900,WAS,14.35,15.0,12.243076923076925
RB,Kenyan Drake,5900,ARI,16.01,15.9,14.145
QB,Daniel Jones,5800,NYG,19.46,14.2,18.35878787878788
QB,Jared Goff,5800,LAR,17.91,16.7,18.35878787878788
QB,Gardner Minshew II,5800,JAX,17.73,15.4,18.35878787878788
QB,Teddy Bridgewater,5800,CAR,10.61,15.6,18.35878787878788
RB,David Johnson,5800,HOU,10.96,14.9,15.604444444444447
WR,Marvin Jones Jr.,5700,DET,15.38,13.6,13.357142857142858
WR,T.Y. Hilton,5700,IND,12.51,14.7,13.357142857142858
WR,Keenan Allen,5700,LAC,16.72,14.8,13.357142857142858
QB,Jimmy Garoppolo,5700,SF,15.6,15.3,18.97193548387097
RB,Malcolm Brown,5700,LAR,4.22,11.6,13.7075
RB,Jonathan Taylor,5700,IND,0.0,15.8,13.7075
RB,David Montgomery,5600,CHI,11.15,11.0,12.966046511627908
