,Pos,Name,Salary,TeamAbbrev,AvgPointsPerGame,Projected Points
0,WR,DeAndre Hopkins,8500,ARI,26.53,18.9
1,QB,Lamar Jackson,8100,BAL,20.08,23.8
2,RB,Alvin Kamara,8000,NO,36.6,25.2
3,QB,Russell Wilson,7800,SEA,36.33,23.7
4,RB,Ezekiel Elliott,7800,DAL,22.9,21.4
5,RB,Dalvin Cook,7600,MIN,22.93,19.4
6,QB,Josh Allen,7300,BUF,35.64,22.6
7,QB,Dak Prescott,7200,DAL,31.64,22.7
8,RB,Austin Ekeler,7100,LAC,19.93,18.5
9,QB,Kyler Murray,7000,ARI,28.38,21.8
10,WR,Tyler Lockett,7000,SEA,25.63,19.1
11,RB,Nick Chubb,7000,CLE,20.97,14.4
12,WR,Tyreek Hill,6900,KC,19.53,17.2
13,WR,DK Metcalf,6800,SEA,20.57,16.1
14,RB,Josh Jacobs,6800,LV,19.9,17.5
15,WR,Stefon Diggs,6800,BUF,21.27,17.1
16,TE,Travis Kelce,6800,KC,18.57,16.8
17,WR,Allen Robinson II,6700,CHI,16.63,17.3
18,WR,Amari Cooper,6700,DAL,18.23,17.9
19,QB,Jared Goff,6700,LAR,22.24,19.1
20,WR,Cooper Kupp,6700,LAR,16.9,17.4
21,RB,Jonathan Taylor,6600,IND,16.7,15.8
22,QB,Deshaun Watson,6600,HOU,18.53,20.8
23,WR,Adam Thielen,6600,MIN,17.47,16.0
24,WR,Keenan Allen,6500,LAC,19.5,17.8
25,RB,James Robinson,6500,JAX,21.63,15.8
26,WR,Mike Evans,6400,TB,15.93,15.6
27,RB,Clyde Edwards-Helaire,6400,KC,18.07,17.8
28,WR,Marquise Brown,6300,BAL,10.2,13.3
29,RB,Chris Carson,6300,SEA,18.33,13.5
30,QB,Joe Burrow,6300,CIN,23.08,19.2
31,WR,Robert Woods,6300,LAR,17.87,16.6
32,RB,Kareem Hunt,6200,CLE,16.87,13.3
33,WR,Michael Gallup,6200,DAL,14.87,13.2
34,QB,Tom Brady,6100,TB,19.01,16.7
35,WR,Tyler Boyd,6100,CIN,17.67,15.2
36,WR,Kenny Golladay,6000,DET,17.7,15.8
37,RB,Kenyan Drake,6000,ARI,11.63,15.5
38,TE,Mark Andrews,6000,BAL,10.63,13.9
39,WR,DJ Chark Jr,6000,JAX,11.95,11.6
40,QB,Matthew Stafford,5900,DET,17.61,18.1
41,QB,Gardner Minshew II,5900,JAX,20.16,18.0
42,WR,Will Fuller V,5900,HOU,12.53,14.5
43,RB,Devin Singletary,5900,BUF,12.0,14.6
44,QB,Drew Brees,5800,NO,18.8,18.7
45,WR,Terry McLaurin,5800,WAS,17.4,14.3
46,QB,Justin Herbert,5800,LAC,22.97,14.4
47,RB,Joe Mixon,5800,CIN,9.4,15.7
48,QB,Baker Mayfield,5800,CLE,13.82,15.9
49,WR,Odell Beckham Jr,5800,CLE,10.83,15.3
50,QB,Nick Foles,5700,CHI,18.22,14.3
51,RB,Mike Davis,5700,CAR,12.87,16.6
52,RB,Mark Ingram II,5700,BAL,7.2,10.8
53,WR,DeVante Parker,5700,MIA,12.3,16.0
54,TE,Tyler Higbee,5700,LAR,14.47,11.4
55,WR,Julian Edelman,5700,NE,15.37,15.4
56,QB,Teddy Bridgewater,5600,CAR,16.21,15.7
57,WR,DJ Moore,5600,CAR,13.63,16.0
58,QB,Kirk Cousins,5600,MIN,15.24,16.3
59,RB,David Johnson,5600,HOU,13.17,14.0
60,QB,Philip Rivers,5500,IND,14.79,14.1
61,RB,David Montgomery,5500,CHI,12.5,13.7
62,WR,AJ Green,5500,CIN,8.2,12.0
63,WR,Robby Anderson,5400,CAR,20.27,13.2
64,QB,Ryan Fitzpatrick,5400,MIA,20.32,18.7
65,QB,Tua Tagovailoa,5400,MIA,0.0,0.8
66,WR,CeeDee Lamb,5400,DAL,14.33,12.5
67,QB,Mitchell Trubisky,5300,CHI,17.37,1.0
68,WR,TY Hilton,5300,IND,7.77,13.3
69,RB,Carlos Hyde,5300,SEA,5.77,6.1
70,QB,Derek Carr,5300,LV,17.89,15.1
71,WR,Justin Jefferson,5200,MIN,15.17,13.4
72,TE,Darren Waller,5200,LV,14.97,15.4
73,RB,James White,5200,NE,8.2,8.4
74,RB,Joshua Kelley,5100,LAC,10.5,7.2
75,TE,Mike Gesicki,5100,MIA,14.83,12.7
76,WR,Jarvis Landry,5100,CLE,8.77,12.9
77,QB,Daniel Jones,5100,NYG,13.05,14.7
78,WR,John Brown,5100,BUF,12.4,11.6
79,WR,Tre'Quan Smith,5000,NO,7.73,11.0
80,RB,Myles Gaskin,5000,MIA,13.1,13.5
81,WR,Darius Slayton,5000,NYG,14.93,12.6
82,RB,Latavius Murray,4900,NO,5.87,8.2
83,WR,Marvin Jones Jr,4900,DET,9.97,12.6
84,QB,Jacoby Brissett,4900,IND,0.34,0.6
85,WR,Anthony Miller,4900,CHI,10.2,8.8
86,QB,Brett Hundley,4900,ARI,0.0,0.5
87,WR,Emmanuel Sanders,4800,NO,9.63,12.2
88,TE,TJ Hockenson,4800,DET,12.03,10.4
89,WR,Curtis Samuel,4800,CAR,8.13,11.4
90,RB,JK Dobbins,4800,BAL,9.9,7.2
91,QB,AJ McCarron,4800,HOU,0.0,0.5
92,WR,Randall Cobb,4800,HOU,11.57,9.1
93,RB,Devonta Freeman,4800,NYG,1.0,8.4
94,WR,Henry Ruggs III,4800,LV,5.5,4.6
95,QB,Jarrett Stidham,4800,NE,0.0,0.1
96,RB,Rex Burkhead,4800,NE,15.63,7.7
97,QB,Jameis Winston,4700,NO,0.0,0.9
98,QB,Chase Daniel,4700,DET,0.0,0.9
99,RB,Adrian Peterson,4700,DET,9.33,8.9
100,RB,Nyheim Hines,4700,IND,12.93,8.7
101,RB,Ronald Jones II,4700,TB,10.07,14.4
102,RB,Malcolm Brown,4700,LAR,10.87,7.0
103,QB,Marcus Mariota,4700,LV,0.0,0.9
104,WR,Cole Beasley,4700,BUF,13.6,10.7
105,TE,Hunter Henry,4600,LAC,12.2,12.9
106,QB,Case Keenum,4600,CLE,0.0,0.8
107,WR,Golden Tate,4600,NYG,9.15,10.9
108,QB,Matt Barkley,4600,BUF,0.0,0.8
109,WR,Hunter Renfrow,4600,LV,10.4,11.4
110,RB,Sony Michel,4600,NE,10.2,6.1
111,WR,Andy Isabella,4500,ARI,9.6,7.6
112,RB,Antonio Gibson,4500,WAS,10.87,10.8
113,QB,Blaine Gabbert,4500,TB,0.0,0.8
114,WR,Preston Williams,4500,MIA,6.8,10.4
115,WR,Tee Higgins,4500,CIN,9.17,9.7
116,WR,Keelan Cole,4500,JAX,13.93,11.0
117,WR,Brandin Cooks,4500,HOU,7.93,12.2
118,WR,Zach Pascal,4400,IND,6.7,8.8
119,WR,Larry Fitzgerald,4400,ARI,6.8,8.4
