Pos,Name,Salary,TeamAbbrev,AvgPointsPerGame,Projected Points
WR,DeAndre Hopkins,7900,ARI,22.68,20.3
QB,Lamar Jackson,7900,BAL,21.56,23.9
RB,Ezekiel Elliott,7800,DAL,22.55,21.3
QB,Patrick Mahomes,7700,KC,28.54,24.6
WR,Calvin Ridley,7500,ATL,22.38,18.5
QB,Josh Allen,7500,BUF,33.08,21.7
QB,Dak Prescott,7400,DAL,34.3,23.1
WR,Amari Cooper,7400,DAL,22.78,18.5
QB,Kyler Murray,7200,ARI,27.32,21.8
RB,Derrick Henry,7000,TEN,19.17,17.5
WR,Stefon Diggs,7000,BUF,21.08,17.3
RB,James Conner,6900,PIT,18.23,17.0
QB,Deshaun Watson,6900,HOU,19.87,21.2
WR,Tyreek Hill,6900,KC,18.75,18.0
WR,Julio Jones,6800,ATL,13.1,6.8
RB,Clyde Edwards-Helaire,6800,KC,16.58,18.7
QB,Cam Newton,6700,NE,25.49,9.8
WR,JuJu Smith-Schuster,6700,PIT,17.67,15.1
RB,James Robinson,6700,JAX,19.9,17.2
QB,Ben Roethlisberger,6600,PIT,21.16,17.9
WR,Will Fuller V,6600,HOU,15.85,14.9
TE,George Kittle,6600,SF,26.2,17.0
QB,Jared Goff,6500,LAR,19.6,17.6
WR,Cooper Kupp,6500,LAR,17.1,17.2
RB,Miles Sanders,6500,PHI,15.13,16.9
WR,DJ Chark Jr,6500,JAX,17.8,14.8
RB,Kareem Hunt,6500,CLE,17.42,17.6
RB,Mike Davis,6400,CAR,15.18,18.4
WR,Robert Woods,6400,LAR,15.85,16.4
TE,Travis Kelce,6400,KC,16.42,17.2
WR,Odell Beckham Jr,6400,CLE,17.72,15.7
RB,Joe Mixon,6300,CIN,18.32,15.8
WR,Marquise Brown,6300,BAL,10.8,14.3
RB,Josh Jacobs,6300,LV,17.5,17.2
WR,Tyler Boyd,6200,CIN,17.35,15.3
TE,Mark Andrews,6200,BAL,13.15,13.9
RB,Jonathan Taylor,6200,IND,14.75,15.0
QB,Matt Ryan,6100,ATL,20.31,19.1
WR,Terry McLaurin,6100,WAS,19.25,16.6
RB,Raheem Mostert,6100,SF,21.9,11.1
WR,DJ Moore,6000,CAR,12.45,16.3
QB,Ryan Tannehill,6000,TEN,20.95,16.5
QB,Joe Burrow,6000,CIN,22.08,16.8
WR,CeeDee Lamb,6000,DAL,17.05,14.2
